#Acq. time (s)=	30
#Accumulations=	2
#Range (cm-¹)=	60...4000
#Windows=	2
#Auto scanning=	Off
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	Best Dynamic Range
#Detector ADC=	45 kHz       
#Detector temperature (°C)=	-60.1
#Instrument=	XploRA Plus
#Detector=	Syncerity OE
#Objective=	x50_VIS_LWD
#Grating=	1200 (750nm)
#Filter=	50%
#Laser=	532nm_Edge
#Slit (µm)=	100 
#Hole (µm)=	300 
#Temperature=	0
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	-0.2
#Full time(mm:ss)=	2:09
#Project=	
#Sample=	
#Site=	
#Title=	aqua_15_45_02_2026_04_01_2_30 s_532nm_Edge_1200 (750nm)_x50_VIS_LWD_100 µm_300 µm_50%
#Remark=	
#Date=	01.04.2026 15:45
#Acquired=	01.04.2026 15:45:37
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
62.8738	1551
66.1253	1549
69.3736	1601
72.6208	1529
75.869	1481
79.1139	1489
82.3577	1437
85.6003	1383
88.844	1325
92.0844	1349
95.3237	1319
98.5619	1285
101.799	1237
105.035	1287
108.27	1247
111.503	1187
114.736	1187
117.967	1143
121.196	1179
124.425	1157
127.653	1165
130.88	1125
134.104	1083
137.328	1103
140.552	1077
143.773	1093
146.994	1103
150.212	1089
153.431	1377
156.647	1477
159.862	1407
163.078	1339
166.291	1159
169.502	1053
172.713	1097
175.924	1027
179.132	1005
182.339	1015
185.545	1049
188.75	1055
191.954	1067
195.157	1053
198.358	1067
201.559	1069
204.758	1019
207.954	1041
211.152	1075
214.348	1053
217.543	1073
220.734	1083
223.927	1121
227.117	1175
230.307	1247
233.495	1893
236.683	3693
239.868	6061
243.055	6261
246.238	5377
249.42	3923
252.603	2043
255.782	1545
258.961	1513
262.139	1915
265.315	5047
268.49	9063
271.665	9079
274.838	8225
278.01	5615
281.181	2773
284.351	3259
287.52	3679
290.688	3605
293.852	3213
297.018	2417
300.183	1727
303.344	1593
306.506	1521
309.665	1529
312.826	1485
315.983	1451
319.141	1425
322.296	1475
325.45	1499
328.604	1625
331.756	1951
334.907	2073
338.056	2001
341.205	1703
344.352	1475
347.498	1355
350.643	1311
353.788	1393
356.931	1715
360.073	1997
363.214	1907
366.353	1831
369.49	1571
372.628	1495
375.765	1413
378.898	1431
382.033	1395
385.164	1323
388.296	1325
391.426	1315
394.556	1313
397.683	1323
400.809	1449
403.936	1527
407.06	1549
410.183	1447
413.305	1307
416.426	1177
419.545	1125
422.664	1081
425.781	1089
428.898	1101
432.013	1109
435.128	1103
438.239	1127
441.351	1133
444.463	1169
447.571	1177
450.68	1125
453.786	1195
456.893	1261
459.997	1311
463.102	1239
466.204	1225
469.305	1217
472.406	1219
475.505	1161
478.603	1241
481.699	1297
484.795	1323
487.889	1379
490.983	1405
494.075	1397
497.166	1377
500.257	1323
503.346	1303
506.434	1277
509.519	1337
512.606	1491
515.691	1883
518.773	2385
521.856	2725
524.936	2501
528.017	2257
531.094	1739
534.171	1375
537.247	1265
540.324	1269
543.398	1309
546.47	1485
549.542	1707
552.613	1823
555.682	1757
558.751	1739
561.818	1695
564.885	1665
567.95	1541
571.013	1453
574.076	1335
577.138	1303
580.198	1271
583.258	1227
586.315	1267
589.374	1293
592.429	1251
595.485	1225
598.538	1265
601.59	1233
604.643	1237
607.693	1237
610.743	1265
613.791	1273
616.838	1249
619.884	1243
622.929	1271
625.973	1271
629.013	1267
632.055	1319
635.096	1283
638.136	1369
641.173	1371
644.211	1403
647.246	1343
650.282	1315
653.314	1315
656.348	1289
659.379	1259
662.409	1299
665.437	1257
668.465	1289
671.494	1299
674.52	1255
677.544	1287
680.568	1299
683.589	1281
686.61	1329
689.631	1281
692.651	1317
695.669	1253
698.685	1301
701.702	1327
704.715	1289
707.73	1335
710.742	1351
713.754	1323
716.764	1353
719.772	1341
722.78	1287
725.789	1309
728.794	1343
731.799	1327
734.802	1365
737.805	1339
740.807	1423
743.807	1381
746.805	1321
749.804	1347
752.801	1357
755.796	1411
758.792	1373
761.786	1407
764.778	1381
767.769	1407
770.76	1435
773.749	1405
776.737	1435
779.725	1409
782.711	1449
785.696	1451
788.68	1427
791.662	1403
794.644	1445
797.625	1447
800.605	1391
803.582	1383
806.559	1435
809.536	1449
812.51	1413
815.485	1469
818.457	1481
821.43	1471
824.4	1453
827.369	1479
830.339	1531
833.306	1491
836.272	1501
839.237	1541
842.201	1567
845.164	1669
848.126	1731
851.087	1755
854.047	1891
857.007	1877
859.963	1857
862.92	1841
865.876	1769
868.83	1749
871.784	1717
874.735	1687
877.686	1713
880.637	1727
883.586	1785
886.533	1759
889.48	1883
892.425	1905
895.37	2115
898.313	2241
901.256	2423
904.198	2659
907.138	3053
910.078	3257
913.015	3649
915.953	4205
918.888	4919
921.824	5757
924.757	6545
927.691	6745
930.622	6469
933.552	5919
936.481	5329
939.411	4561
942.338	3923
945.264	3225
948.19	2791
951.114	2393
954.035	2237
956.958	2121
959.879	2011
962.8	1917
965.717	1931
968.636	1877
971.552	1945
974.468	1991
977.382	2159
980.295	2425
983.209	2793
986.12	3001
989.03	2783
991.939	2555
994.847	2219
997.754	2117
1000.66	2155
1003.57	2233
1006.47	2333
1009.37	2551
1012.27	2537
1015.17	2505
1018.07	2203
1020.97	2061
1023.87	1971
1026.77	1859
1029.66	1813
1032.56	1761
1035.45	1695
1038.34	1719
1041.23	1695
1044.12	1665
1047.01	1657
1049.9	1663
1052.78	1599
1055.67	1659
1058.56	1675
1061.44	1619
1064.32	1695
1067.2	1638.72
1070.08	1650.45
1072.96	1638.17
1075.84	1643.9
1078.72	1659.62
1081.6	1605.35
1084.47	1693.07
1087.35	1654.79
1090.22	1688.52
1093.09	1714.24
1095.96	1693.97
1098.83	1697.69
1101.7	1667.42
1104.57	1673.14
1107.43	1680.86
1110.3	1734.59
1113.16	1760.31
1116.03	1722.04
1118.89	1683.76
1121.75	1669.49
1124.61	1643.21
1127.47	1686.94
1130.33	1732.66
1133.19	1684.38
1136.04	1734.11
1138.9	1745.83
1141.75	1779.56
1144.61	1753.28
1147.46	1739.01
1150.31	1694.73
1153.16	1732.45
1156.01	1812.18
1158.86	1933.9
1161.7	2055.63
1164.55	2105.35
1167.39	2165.08
1170.24	2018.8
1173.08	1932.52
1175.92	1910.25
1178.76	1813.97
1181.6	1779.7
1184.44	1777.42
1187.28	1735.15
1190.12	1740.87
1192.95	1772.6
1195.79	1702.32
1198.62	1794.04
1201.45	1763.77
1204.28	1755.49
1207.11	1809.22
1209.94	1746.94
1212.77	1782.67
1215.6	1732.39
1218.42	1788.11
1221.25	1773.84
1224.07	1841.56
1226.9	1777.29
1229.72	1771.01
1232.54	1786.74
1235.36	1766.46
1238.18	1780.18
1241	1787.91
1243.81	1757.63
1246.63	1743.36
1249.44	1813.08
1252.26	1800.81
1255.07	1768.53
1257.88	1748.26
1260.69	1821.98
1263.5	1791.7
1266.31	1799.43
1269.12	1769.15
1271.92	1772.88
1274.73	1818.6
1277.53	1804.33
1280.34	1810.05
1283.14	1871.77
1285.94	1871.5
1288.74	1811.22
1291.54	1800.95
1294.34	1878.67
1297.14	1894.4
1299.93	1914.12
1302.73	1881.84
1305.52	1863.57
1308.31	1869.29
1311.11	1843.02
1313.9	1890.74
1316.69	1860.47
1319.48	1868.19
1322.26	1867.91
1325.05	1879.64
1327.84	1933.36
1330.62	1849.09
1333.41	1904.81
1336.19	1860.54
1338.97	1844.26
1341.75	1861.99
1344.53	1857.71
1347.31	1869.43
1350.09	1885.16
1352.87	1894.88
1355.64	1826.61
1358.42	1868.33
1361.19	1896.06
1363.96	1887.78
1366.74	1859.5
1369.51	1901.23
1372.28	1910.95
1375.04	1866.68
1377.81	1816.4
1380.58	1842.13
1383.34	1863.85
1386.11	1851.57
1388.87	1815.3
1391.63	1897.02
1394.4	1926.75
1397.16	1922.47
1399.92	1868.2
1402.67	1859.92
1405.43	1907.65
1408.19	1903.37
1410.95	1877.09
1413.7	1896.82
1416.45	1904.54
1419.21	1938.27
1421.96	1975.99
1424.71	1931.72
1427.46	1895.44
1430.21	1917.16
1432.95	1902.89
1435.7	1940.61
1438.45	1964.34
1441.19	1968.06
1443.93	1899.79
1446.68	1895.51
1449.42	1907.23
1452.16	1892.96
1454.9	1904.68
1457.64	1882.41
1460.37	1918.13
1463.11	1841.86
1465.85	1871.58
1468.58	1849.3
1471.31	1807.03
1474.05	1832.75
1476.78	1878.48
1479.51	1864.2
1482.24	1849.93
1484.97	1861.65
1487.69	1875.38
1490.42	1905.1
1493.15	1890.82
1495.87	1854.55
1498.59	1866.27
1501.32	1866
1504.04	1853.72
1506.76	1901.45
1509.48	1907.17
1512.2	1828.89
1514.91	1848.62
1517.63	1904.34
1520.35	1908.07
1523.06	1867.79
1525.77	1933.52
1528.49	1913.24
1531.2	1922.96
1533.91	1866.69
1536.62	1892.41
1539.33	1948.14
1542.04	1887.86
1544.74	1889.59
1547.45	1921.31
1550.15	1921.03
1552.85	1910.76
1555.56	1918.48
1558.26	1906.21
1560.96	1867.93
1563.66	1973.66
1566.36	1859.38
1569.06	1903.11
1571.75	1852.83
1574.45	1852.55
1577.14	1858.28
1579.84	1958
1582.53	1853.73
1585.22	1849.45
1587.91	1911.18
1590.6	1870.9
1593.29	1896.62
1595.98	1886.35
1598.67	1868.07
1601.35	1873.8
1604.04	1861.52
1606.72	1875.25
1609.4	1872.97
1612.09	1896.69
1614.77	1884.42
1617.45	1854.14
1620.13	1867.87
1622.8	1867.59
1625.48	1875.32
1628.16	1877.04
1630.83	1866.77
1633.51	1906.49
1636.18	1890.21
1638.85	1917.94
1641.52	1865.66
1644.19	1893.39
1646.86	1883.11
1649.53	1862.84
1652.2	1932.56
1654.86	1872.28
1657.53	1866.01
1660.2	1871.73
1662.86	1863.46
1665.52	1895.18
1668.18	1846.91
1670.84	1874.63
1673.5	1874.35
1676.16	1828.08
1678.82	1859.8
1681.47	1819.53
1684.13	1861.25
1686.79	1916.98
1689.44	1844.7
1692.09	1880.42
1694.74	1842.15
1697.39	1805.87
1700.04	1847.6
1702.69	1831.32
1705.34	1891.05
1707.99	1860.77
1710.64	1804.5
1713.28	1866.22
1715.92	1785.94
1718.57	1829.67
1721.21	1829.39
1723.85	1841.12
1726.49	1866.84
1729.13	1826.57
1731.77	1794.29
1734.41	1770.01
1737.04	1813.74
1739.68	1791.46
1742.31	1831.19
1744.94	1852.91
1747.58	1768.64
1750.21	1864.36
1752.84	1852.08
1755.47	1771.81
1758.1	1793.53
1760.73	1855.26
1763.35	1812.98
1765.98	1836.71
1768.6	1776.43
1771.23	1856.15
1773.85	1773.88
1776.47	1737.6
1779.09	1795.33
1781.71	1811.05
1784.33	1810.78
1786.95	1826.5
1789.57	1832.23
1792.18	1809.95
1794.8	1753.67
1797.41	1773.4
1800.03	1805.12
1802.64	1830.85
1805.25	1774.57
1807.86	1792.3
1810.47	1776.02
1813.08	1813.74
1815.69	1821.47
1818.29	1785.19
1820.9	1758.92
1823.5	1736.64
1826.11	1766.37
1828.71	1764.09
1831.31	1765.81
1833.91	1765.54
1836.51	1787.26
1839.11	1770.99
1841.71	1784.71
1844.31	1812.44
1846.9	1812.16
1849.5	1777.89
1852.09	1791.61
1854.69	1749.33
1857.28	1841.06
1859.87	1742.78
1862.46	1754.51
1865.05	1724.23
1867.64	1769.96
1870.23	1769.68
1872.81	1763.4
1875.4	1767.13
1877.98	1776.85
1880.57	1760.58
1883.15	1774.3
1885.73	1736.03
1888.31	1755.75
1890.89	1729.47
1893.47	1743.2
1896.05	1760.92
1898.63	1758.65
1901.2	1764.37
1903.78	1780.1
1906.35	1715.82
1908.93	1803.54
1911.5	1771.27
1914.07	1780.99
1916.64	1776.72
1919.21	1768.44
1921.78	1744.17
1924.35	1761.89
1926.92	1729.62
1929.48	1735.34
1932.05	1733.06
1934.61	1710.79
1937.17	1730.51
1939.74	1716.24
1942.3	1731.96
1944.86	1737.69
