##NAMES=Hibbingite
##MID=0030001
##IDEAL CHEMISTRY=Fe_2_O_3_H_3_Cl
##LOCALITY=x
##OWNER=PAPER_Kodera2022
##SOURCE=x
##DESCRIPTION=x
##STATUS=clearly identified
##URL=x
##MEASURED CHEMISTRY=Fe_2_O_3_H_3_Cl
111.3738488, 103.4482759
111.8137831, 123.5632184
112.2537174, 128.7356322
112.6936517, 135.6321839
113.1335859, 143.1034483
113.5735202, 151.1494253
114.0134545, 159.7701149
114.4533887, 172.4137931
114.893323, 182.183908
115.3332573, 190.8045977
115.7731916, 205.7471264
116.2131258, 218.9655172
116.6530601, 252.8735632
117.0929944, 258.6206897
117.5329286, 279.3103448
117.9728629, 294.2528736
118.4127972, 328.1609195
118.8527314, 336.2068966
119.2926657, 374.137931
119.7326, 398.8505747
120.1725343, 427.5862069
120.6124685, 462.6436782
121.0524028, 483.908046
121.4923371, 532.7586207
121.9322713, 544.2528736
122.3722056, 559.1954023
122.8121399, 564.9425287
123.2520742, 579.3103448
123.6920084, 590.8045977
124.1319427, 595.9770115
124.571877, 601.1494253
125.0118112, 604.5977011
125.4517455, 604.5977011
125.8916798, 604.5977011
126.331614, 605.1724138
126.7715483, 605.1724138
127.2114826, 605.1724138
127.6514169, 605.1724138
128.0913511, 605.1724138
128.5312854, 604.5977011
128.9712197, 604.5977011
129.4111539, 604.5977011
129.8510882, 588.5057471
130.2910225, 573.5632184
130.7309568, 565.5172414
131.170891, 559.1954023
131.6108253, 547.1264368
132.0507596, 536.7816092
132.4906938, 522.4137931
132.9306281, 495.4022989
133.3705624, 477.5862069
133.8104966, 457.4712644
134.2504309, 447.7011494
134.6903652, 425.862069
135.1302995, 382.7586207
135.5702337, 368.9655172
136.010168, 356.3218391
136.4501023, 344.2528736
136.8900365, 331.6091954
137.3299708, 287.9310345
137.7699051, 274.7126437
138.2098394, 266.091954
138.6497736, 259.1954023
139.0897079, 248.8505747
139.5296422, 236.2068966
139.9695764, 229.8850575
140.4095107, 226.4367816
140.849445, 222.9885057
141.2893792, 220.1149425
141.7293135, 217.2413793
142.1692478, 214.3678161
142.6091821, 212.6436782
143.0491163, 212.0689655
143.4890506, 212.0689655
143.9289849, 212.0689655
144.3689191, 212.6436782
144.8088534, 216.6666667
145.2487877, 224.7126437
145.688722, 228.7356322
146.1286562, 232.7586207
146.5685905, 236.2068966
147.0085248, 240.2298851
147.448459, 245.4022989
147.8883933, 254.5977011
148.3283276, 270.1149425
