source,name,formula,class,collapsed_spectra_count
ROD,Barytolamprophyllite,Al0.03Ba0.88Ca0.13Fe0.35K0.61Mg0.05Mn0.28Na2.09Nb0.01O18Si4Sr0.33Ti2.91,Silicates,2
ROD,Baumhauerite,As16.6Pb11.62S36,Sulfides,1
ROD,Bavenite,AlBe3Ca4H3O28Si9,Silicates,2
ROD,Bazhenovite,Ca2H9.2O8S2.19,Oxides / hydroxides,2
ROD,Behoite,BeH2O2,Oxides / hydroxides,4
ROD,Bellingerite,Cu3H4I6O20,Oxides / hydroxides,2
ROD,Benitoite,BaO9Si3Ti,Silicates,4
ROD,Benstonite,C13Ba6Ca6MgO39,Oxides / hydroxides,2
ROD,Benyacarite,Al0.14F0.8Fe1.78H23.2K0.32Mg0.08Mn1.5O32.76P4Ti1.56,Oxides / hydroxides,2
ROD,Beraunite,Fe6H17O27P4,Oxides / hydroxides,1
ROD,Berlinite,AlO4P,Oxides / hydroxides,2
ROD,Bermanite,H10Mn3O14P2,Oxides / hydroxides,2
ROD,Bertossaite,Al4Ca0.87H4Li3.72Na0.41O20P4,Oxides / hydroxides,2
ROD,Bertrandite,Be4H2O9Si2,Silicates,2
ROD,Beryl,Al1.356Be3Fe0.384H10.944Mg0.258Na0.425O18.912Si6,Silicates,2
ROD,Beta Gallium Oxide,Ga2O3,Oxides / hydroxides,1
ROD,Betpakdalite-CaMg,As2Ca1.928Fe3H48.352MgMo8Na0.072O61.176,Oxides / hydroxides,2
ROD,Bigcreekite,BaH8O9Si2,Silicates,2
ROD,Bikitaite,AlH2LiO7Si2,Silicates,4
ROD,Billietite,BaH6O30U6,Oxides / hydroxides,3
ROD,Bindheimite,O7Pb2Sb2,Oxides / hydroxides,2
ROD,Bismuth trinitrate,BiN3O9,Oxides / hydroxides,2
ROD,Bismutite,CBi2O5,Oxides / hydroxides,6
ROD,Blodite,H8MgNa2O12S2,Oxides / hydroxides,4
ROD,Bobdownsite,Al0.04Ca9F0.84H0.16Mg0.96O27.16P6.97,Oxides / hydroxides,10
ROD,Bohmite,AlH0.08O2,Oxides / hydroxides,4
ROD,Boleite,Ag9Cl62Cu24H48KO48Pb26,Oxides / hydroxides,2
ROD,Borcarite,C2H6B4Ca4MgO18,Oxides / hydroxides,4
ROD,Boric acid,BH3O3,Oxides / hydroxides,4
ROD,boron trioxide,B2O3,Oxides / hydroxides,4
ROD,Borosilicate glass,Al12.12B34.68Ca4.98Na24.34O206.27Si56.18Zr3.28,Silicates,1
ROD,Bottinoite,NiO18Sb2,Oxides / hydroxides,2
ROD,Bournonite,CuPbS3Sb,Sulfides,2
ROD,Boussingaultite,H20MgN2O14S2,Oxides / hydroxides,2
ROD,Brassite,AsH9MgO8,Oxides / hydroxides,2
ROD,Braunite,Mn7O12Si,Silicates,4
ROD,Brazilianite,Al3H4NaO12P2,Oxides / hydroxides,4
ROD,Brendelite,BiFeHO7PPb,Oxides / hydroxides,2
ROD,Brenkite,CCa2F2O3,Oxides / hydroxides,2
ROD,Britvinite,C2B3.468F2Mg9O58Pb14.144Si10.532,Silicates,2
ROD,Brizziite,NaO3Sb,Oxides / hydroxides,2
ROD,Brookite,O2Ti,Oxides / hydroxides,6
ROD,Brownmillerite,Ca2Fe2O5,Oxides / hydroxides,1
ROD,Brucite,H2MgO2,Oxides / hydroxides,3
ROD,Burkeite,C0.61Na3O3.5S0.89,Oxides / hydroxides,2
ROD,Bussyite-(Ce),Be5.176Ca0.764Ce0.824Eu0.008F4Gd0.078H7.72La0.236Mg0.012Mn0.485Na3.652Nd0.374O33.15Pr0.114Si8.824Sm0.08Th0.174Y0.242,Silicates,1
ROD,Butlerite,FeH3O7S,Oxides / hydroxides,2
ROD,Cabalzarite,Al0.816As2CaFe0.354H3Mg0.784Mn0.046O10,Oxides / hydroxides,2
ROD,Cadmium iodide,CdI2,Halides,4
ROD,Caesium carbonate,CCs2O3,Oxides / hydroxides,1
ROD,Caesium nitrate,CsNO3,Nitrates,4
ROD,Cafarsite,As22.36Ca11.84Fe5.94Mn3.4O81.36Ti6,Oxides / hydroxides,2
ROD,Cahnite,AsBCa2O8,Oxides / hydroxides,4
ROD,Calcioancylite-(Nd),C4Ca1.263Ce0.626Dy0.068Gd0.273La0.137Nd0.879O16Pr0.147Sm0.324Tm0.029Y0.254,Oxides / hydroxides,2
ROD,Calcite,CCaO3,Oxides / hydroxides,16
ROD,calcium peroxide,CaO2,Oxides / hydroxides,4
ROD,Calderonite,FeHO9Pb1.937V1.912,Oxides / hydroxides,4
ROD,Callaghanite,CH10Cu2Mg2O11,Oxides / hydroxides,2
ROD,Calzirtite,CaO8TiZr2.5,Oxides / hydroxides,2
ROD,Carletonite,C4H4.59Al0.112Ca3.76F0.41K0.882Na3.658O31.373Si7.748,Silicates,2
ROD,Carlosbarbosaite,Al0.1Ca0.28Ce0.02Fe0.1H6Nb0.8Nd0.02O14Si0.26Ta0.52Ti0.22U1.44,Silicates,2
ROD,Carminite,As2Fe2H2O10Pb,Oxides / hydroxides,2
ROD,Carpathite/Karpalite?,C2H,Other classes,2
ROD,Carpholite,Al3.02H8K0.012Mg0.26Mn1.74O20Si4V0.98,Silicates,2
ROD,Caryinite,As2.892Ca1.91Mg0.56Mn1.77Na1.376O12P0.09Pb0.384V0.018,Oxides / hydroxides,2
ROD,Cassiterite,O2Sn,Oxides / hydroxides,6
ROD,Catapleiite,CaH4O11Si3Zr,Silicates,5
ROD,Caysichite-(Y),C3H8.5Ca1.5O23Si4Y2.5,Silicates,2
ROD,Cechite,Fe0.8HMn0.2O5PbV,Oxides / hydroxides,1
ROD,Celestine,O4SSr,Oxides / hydroxides,6
ROD,Celsian,Al2BaO8Si2,Silicates,4
ROD,Ceria,CeO2,Oxides / hydroxides,4
ROD,Cerianite-(Ce),Ce0.62Dy0.02Er0.01F0.24Gd0.02La0.03Nd0.06O1.68Pr0.01Sm0.01Y0.2Yb0.02,Oxides / hydroxides,2
ROD,Cerine,CeO2,Oxides / hydroxides,1
ROD,cerium(IV) sulfate tetrahydrate,CeH8O12S2,Oxides / hydroxides,1
ROD,Cerussite,CO3Pb,Carbonates,6
ROD,Chabazite-Ca,Al3.156Ca1.01K0.164Na0.226O24Si8.844,Silicates,1
ROD,Chabourneite,As19Pb4S68Sb21Tl8,Sulfides,2
ROD,Chalcanthite,CuH10O9S,Oxides / hydroxides,4
ROD,Chalcocyanite,CuO4S,Oxides / hydroxides,1
ROD,Chalcosiderite,Al0.54CuFe5.46H16O28P4,Oxides / hydroxides,2
ROD,Chalcostibite,CuS2Sb,Sulfides,2
ROD,Chambersite,B7ClMn3O13,Oxides / hydroxides,2
ROD,Changoite,H8Na2O12S2Zn,Oxides / hydroxides,2
ROD,Charoite,Ba0.16Ca12.82FH4.18K6.94Mn0.18Na3.18O92.59Si35Sr0.5,Silicates,2
ROD,Chenite,CuH6O14Pb4S2,Oxides / hydroxides,4
ROD,Chervetite,O7Pb2V2,Oxides / hydroxides,2
ROD,Childrenite,AlFe0.89H4Mn0.11O7P,Oxides / hydroxides,2
ROD,Chiolite,Al3F14Na5,Halides,2
ROD,Chlorargyrite,AgCl,Halides,2
ROD,Chlorartinite,CH5ClMg2O6,Oxides / hydroxides,2
ROD,Chrysoberyl,Al1.98BeCr0.02O4,Oxides / hydroxides,8
ROD,Clinobarylite,BaBe2O7Si2,Silicates,4
ROD,Clinochalcomenite,CuH4O5Se,Oxides / hydroxides,2
ROD,clinoenstatite,MgO3Si,Silicates,1
ROD,Clinohedrite,CaH2O5SiZn,Silicates,3
ROD,Co,Co,Other classes,1
ROD,cobalt (II) dicobalt (III) oxide,Co3O4,Carbonates,1
ROD,cobalt (II) oxide,CoO,Oxides / hydroxides,1
ROD,Cobalt ferrite,CoFe2O4,Oxides / hydroxides,1
ROD,cobaltosic oxide,Co3O4,Carbonates,1
ROD,Conichalcite,AsCaCu0.96HMg0.04O5,Oxides / hydroxides,2
ROD,Coquimbite,Al0.761Fe3.239H36O42S6,Oxides / hydroxides,2
ROD,Cordierite,Al4Fe0.14Mg1.86Na0.09O18.58Si5,Silicates,8
ROD,Cornwallite,As1.8Cu5H4O12P0.2,Oxides / hydroxides,2
ROD,Corundum,Al2O3,Oxides / hydroxides,17
ROD,Crocoite,CrO4Pb,Oxides / hydroxides,3
ROD,CSD-B Borosilicate glass,Al17.4B28.88Ba0.36Ca3.1Co0.27Cr0.14Fe5.68Li4.34Mn0.19Mo0.69Na25.06Ni0.33O206.96P0.84Ru0.12S0.19Si50.33Zr1.99,Silicates,1
ROD,Cuprite,Cu2O,Oxides / hydroxides,1
ROD,Diopside,CaMgO6Si2,Silicates,1
ROD,disodium peroxodisulfate,Na2O8S2,Oxides / hydroxides,1
ROD,Dixenite,As6.3Cu0.843FeH6Mg0.1Mn12.9O33Si1.7,Silicates,2
ROD,Dolomite,C2CaFe0.33Mg0.67O6,Oxides / hydroxides,4
ROD,Dolomite,C2CaMgO6,Oxides / hydroxides,2
ROD,Dreyerite,BiO4V,Oxides / hydroxides,2
ROD,Dugganite,As6O18Pb3TeZn3,Oxides / hydroxides,2
ROD,Dukeite,Bi12Cr4H6O33,Oxides / hydroxides,2
ROD,Dussertite,As2BaFe2.52O14Sb0.48,Oxides / hydroxides,2
ROD,Eclarite,Bi13.604Cu0.842Fe0.45Pb7.25S28,Sulfides,2
ROD,Edoylerite,CrHg3O4S2,Oxides / hydroxides,2
ROD,Eirikite,Al3Be2F2K0.983Na6.017O39Si15,Silicates,2
ROD,Eitelite,C2MgNa2O6,Oxides / hydroxides,2
ROD,Elyite,CuH5O11Pb4S,Oxides / hydroxides,2
ROD,Enstatite,MgO3Si,Silicates,1
ROD,Epidote,Al2.08Ca2Fe0.39HMn0.53O13Si3,Silicates,2
ROD,Epidote,Al2.09Ca2Fe0.91HO13Si3,Silicates,2
ROD,Epsomite (deuterated),D14MgO11S,Oxides / hydroxides,2
ROD,Erbium oxide,Er2O3,Oxides / hydroxides,3
ROD,erbium(III) oxide,Er2O3,Oxides / hydroxides,1
ROD,Erdite,FeH2NaO2S2,Oxides / hydroxides,2
ROD,Erythrite,As2Co2.01Fe0.74H16Ni0.25O16,Oxides / hydroxides,4
ROD,Eskolaite,Cr2O3,Oxides / hydroxides,3
ROD,Esperite,Ca2O12PbSi3Zn3,Silicates,7
ROD,Europium oxide,Eu2O3,Oxides / hydroxides,3
ROD,Ezcurrite,B5H5Na2O12,Oxides / hydroxides,2
ROD,Famatinite,As0.264Cu3S4Sb0.736,Sulfides,1
ROD,Farringtonite,Mg3O8P2,Oxides / hydroxides,2
ROD,Fenaksite,FeKNaO10Si4,Silicates,2
ROD,Ferronigerite-2N1S,Al8.435Fe0.83HO15SnZn0.36,Oxides / hydroxides,2
ROD,Fettelite,Ag17.742As3.552S15Sb0.448,Sulfides,2
ROD,Fluornatromicrolite,As0.04Ca0.88F0.73H0.24Na0.88Nb0.14O6Pb0.02Si0.12Ta1.7,Silicates,6
ROD,Footemineite,Be4Ca2Fe0.52H16Li0.17Mg0.05Mn4.14O34P6,Oxides / hydroxides,2
ROD,Forsterite,Mg2O4Si,Silicates,2
ROD,Gadolina,Gd2O3,Oxides / hydroxides,4
ROD,Gelosaite,BiH3Mo2.102O9,Oxides / hydroxides,2
ROD,Georgerobinsonite,ClCr2FH2O10Pb4,Oxides / hydroxides,2
ROD,Goethite,FeHO2,Oxides / hydroxides,1
ROD,Gorceixite,Al3Ba0.882H7O14P2,Oxides / hydroxides,2
ROD,Graphite,C,Other classes,1
ROD,Gypsum,CaH4O6S,Oxides / hydroxides,2
ROD,Hanksite,C2ClKNa22O42S9,Oxides / hydroxides,2
ROD,Hashemite,BaCrO4,Oxides / hydroxides,3
ROD,Hedenbergite,CaFeO6Si2,Silicates,7
ROD,Hematite,Fe2.66O4,Oxides / hydroxides,2
ROD,Hematite,Fe2O3,Oxides / hydroxides,4
ROD,holmium oxide,Ho2O3,Oxides / hydroxides,2
ROD,holmium(III) oxide,Ho2O3,Oxides / hydroxides,1
ROD,Hydroxylapatite,Ca5HO13P3,Oxides / hydroxides,1
